date,Thailand,Myanmar,Cambodia,Vietnam,P_Malaysia,Lao_PDR
2020-01-02,24,14,201,5,0,14
2020-01-03,52,29,91,8,0,3
2020-01-04,110,55,427,2,2,21
2020-01-05,27,1,836,36,4,20
2020-01-06,119,17,780,39,0,57
2020-01-07,49,10,248,33,0,21
2020-01-08,59,48,129,9,0,12
2020-01-09,106,76,272,20,0,19
2020-01-10,219,94,600,39,2,42
2020-01-11,156,31,378,63,0,79
2020-01-12,88,14,243,25,0,38
2020-01-13,63,40,386,46,0,20
2020-01-14,73,121,493,23,5,22
2020-01-15,132,138,521,39,11,39
2020-01-16,174,71,792,71,6,117
2020-01-17,99,25,654,77,2,83
2020-01-18,80,40,379,63,0,43
2020-01-19,70,58,251,18,0,16
2020-01-20,134,188,557,21,0,37
2020-01-21,221,162,689,54,0,92
2020-01-22,113,62,712,66,3,89
2020-01-23,52,49,346,47,2,66
2020-01-24,30,90,138,6,10,7
2020-01-25,191,327,174,5,2,38
2020-01-26,517,240,144,3,3,65
2020-01-27,287,97,387,12,4,28
2020-01-28,72,49,250,26,3,16
2020-01-29,53,87,82,23,0,14
2020-01-30,91,160,89,9,3,2
2020-01-31,232,222,211,26,3,41
2020-02-01,216,127,754,66,3,102
2020-02-02,128,57,678,99,3,90
2020-02-03,47,146,322,78,0,57
2020-02-04,79,218,161,38,2,44
2020-02-05,144,426,380,20,2,52
2020-02-06,216,269,495,85,5,113
2020-02-07,153,112,608,126,5,168
2020-02-08,92,83,301,45,2,92
2020-02-09,62,195,244,8,0,59
2020-02-10,122,235,6,2,0,34
2020-02-11,227,341,134,22,5,128
2020-02-12,226,186,280,70,1,207
2020-02-13,81,131,176,128,0,157
2020-02-14,113,251,91,72,2,198
2020-02-15,228,298,153,90,1,230
2020-02-16,461,418,210,81,5,232
2020-02-17,390,187,241,47,1,184
2020-02-18,144,177,657,133,0,264
2020-02-19,82,237,330,53,0,138
2020-02-20,110,388,268,21,1,79
2020-02-21,333,555,399,22,1,101
2020-02-22,455,403,1028,175,6,270
2020-02-23,250,127,953,238,2,424
2020-02-24,125,100,358,166,0,177
2020-02-25,129,180,168,48,1,249
2020-02-26,195,396,108,48,3,209
2020-02-27,152,312,156,56,20,256
2020-02-28,175,159,505,183,6,387
2020-02-29,92,237,221,125,10,348
2020-03-01,84,414,56,76,4,256
2020-03-02,104,595,84,59,3,340
2020-03-03,158,646,106,67,10,345
2020-03-04,60,327,135,84,7,143
2020-03-05,36,262,126,61,0,109
2020-03-06,17,224,37,46,0,25
2020-03-07,59,421,27,50,0,79
2020-03-08,275,1090,133,103,13,254
2020-03-09,508,1064,300,348,11,782
2020-03-10,293,634,313,302,5,1143
2020-03-11,145,663,83,110,0,686
2020-03-12,179,848,95,148,4,1345
2020-03-13,284,1355,142,186,2,1522
2020-03-14,398,1484,157,141,1,1295
2020-03-15,72,571,398,124,7,715
2020-03-16,34,483,150,128,4,554
2020-03-17,74,1067,89,53,2,720
2020-03-18,137,1580,72,106,4,572
2020-03-19,213,1698,160,121,8,650
2020-03-20,130,886,145,145,6,530
2020-03-21,128,407,263,163,5,897
2020-03-22,64,621,52,122,0,596
2020-03-23,123,822,42,97,1,370
2020-03-24,265,1732,99,67,2,464
2020-03-25,321,1726,184,65,5,419
2020-03-26,202,903,72,115,3,684
2020-03-27,107,1111,74,128,2,584
2020-03-28,160,1684,53,96,4,1293
2020-03-29,310,1660,100,211,3,1336
2020-03-30,587,2045,189,330,8,1693
2020-03-31,283,1149,154,343,7,3953
2020-04-01,175,949,69,174,8,2163
2020-04-02,193,1180,64,110,0,1073
2020-04-03,188,1311,104,82,1,739
2020-04-04,390,2078,126,85,1,834
2020-04-05,178,769,200,55,2,528
2020-04-06,74,721,24,77,0,289
2020-04-07,33,715,22,15,0,135
2020-04-08,70,591,10,35,0,128
2020-04-09,112,892,18,4,0,170
2020-04-10,107,527,7,25,5,192
2020-04-11,61,413,14,82,8,318
2020-04-12,36,257,19,49,4,242
2020-04-13,17,382,0,0,0,18
2020-04-14,26,489,5,3,2,53
2020-04-15,70,637,6,18,8,215
2020-04-16,53,221,26,41,24,775
2020-04-17,15,140,6,68,0,484
2020-04-18,13,309,13,34,0,156
2020-04-19,63,339,10,52,8,345
2020-04-20,108,424,46,99,33,835
2020-04-21,86,308,78,234,7,1560
2020-04-22,56,111,26,120,0,428
2020-04-23,14,143,25,41,0,63
2020-04-24,14,158,8,9,0,0
2020-04-25,14,114,7,5,1,2
2020-04-26,21,59,58,12,0,10
2020-04-27,4,5,21,9,0,21
2020-04-28,27,7,71,66,0,82
2020-04-29,9,4,17,39,0,81
2020-04-30,18,36,24,22,0,33
2020-05-01,26,36,22,26,0,14
2020-05-02,22,25,12,59,1,35
2020-05-03,13,21,12,102,0,63
2020-05-04,15,76,7,96,0,123
2020-05-05,62,96,18,86,0,379
2020-05-06,103,148,23,95,1,382
2020-05-07,60,100,27,115,1,459
2020-05-08,24,120,17,74,0,97
2020-05-09,7,110,17,61,0,32
2020-05-10,15,101,0,66,0,26
2020-05-11,15,195,0,3,1,19
2020-05-12,26,37,15,15,2,31
2020-05-13,12,22,28,60,0,27
2020-05-14,3,20,13,50,0,6
2020-05-15,6,39,5,33,0,19
2020-05-16,25,76,4,17,0,25
2020-05-17,16,10,5,8,0,30
2020-05-18,9,23,21,29,0,7
2020-05-19,1,3,22,55,0,32
2020-05-20,1,0,15,30,0,13
2020-05-21,1,0,0,21,0,2
2020-05-22,11,2,23,2,0,1
2020-05-23,10,5,1,8,0,37
2020-05-24,1,2,1,17,0,4
2020-05-25,3,7,3,32,0,9
2020-05-26,6,12,0,33,0,4
2020-05-27,7,2,4,0,0,11
2020-05-28,11,0,1,3,0,1
2020-05-29,1,0,0,17,0,2
2020-05-30,0,0,1,30,0,0
2020-05-31,1,0,1,22,0,0
2020-06-01,2,0,0,14,0,2
2020-06-02,6,1,0,9,2,0
2020-06-03,7,3,4,25,2,3
2020-06-04,1,0,3,50,0,7
2020-06-05,0,0,1,31,0,1
2020-06-06,0,1,1,11,0,0
2020-06-07,2,0,3,5,0,0
2020-06-08,1,0,13,34,0,0
2020-06-09,2,1,13,34,0,2
2020-06-10,0,0,0,16,0,0
2020-06-11,0,1,0,11,0,0
2020-06-12,6,0,3,1,0,0
2020-06-13,6,0,9,3,0,2
2020-06-14,0,0,0,0,0,1
2020-06-15,0,0,0,1,0,0
2020-06-16,0,0,0,2,0,0
2020-06-17,0,0,2,0,0,0
2020-06-18,0,0,1,6,0,0
2020-06-19,1,0,4,5,0,0
2020-06-20,0,0,2,35,0,0
2020-06-21,2,0,0,16,0,2
2020-06-22,1,1,2,11,0,0
2020-06-23,1,3,3,3,0,0
2020-06-24,7,0,5,11,0,1
2020-06-25,1,0,3,7,0,1
2020-06-26,0,0,4,15,0,0
2020-06-27,0,0,0,10,0,1
2020-06-28,1,0,2,0,0,2
2020-06-29,4,0,3,0,0,0
2020-06-30,2,0,0,4,0,0
2020-07-01,0,0,0,8,0,0
2020-07-02,0,0,0,5,0,0
2020-07-03,0,0,0,0,1,0
2020-07-04,0,0,0,2,0,0
2020-07-05,3,0,5,14,1,0
2020-07-06,1,0,2,27,0,1
2020-07-07,0,0,0,20,0,0
2020-07-08,1,0,0,12,0,0
2020-07-09,2,0,0,7,0,0
2020-07-10,5,0,6,11,0,1
2020-07-11,1,0,3,25,0,2
2020-07-12,1,0,1,21,0,0
2020-07-13,0,0,0,17,0,0
2020-07-14,0,0,3,6,0,0
2020-07-15,0,0,1,6,2,0
2020-07-16,2,1,5,16,1,0
2020-07-17,0,0,2,30,0,1
2020-07-18,0,0,1,7,0,0
2020-07-19,0,0,3,12,1,0
2020-07-20,2,0,0,1,1,0
2020-07-21,2,0,1,4,4,0
2020-07-22,1,0,0,18,0,1
2020-07-23,0,0,0,14,0,1
2020-07-24,1,0,0,4,0,0
2020-07-25,3,0,1,5,0,0
2020-07-26,3,0,1,15,1,3
2020-07-27,0,0,2,19,0,0
2020-07-28,0,0,0,24,0,0
2020-07-29,1,0,0,11,0,0
2020-07-30,0,0,0,4,0,1
2020-07-31,5,0,0,1,0,0
2020-08-01,1,0,0,0,0,0
2020-08-02,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0
2020-08-04,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0
2020-08-06,5,0,2,0,1,0
2020-08-07,0,0,0,8,1,0
2020-08-08,0,0,0,19,1,0
2020-08-09,2,0,0,15,3,0
2020-08-10,2,0,0,8,1,0
2020-08-11,2,0,2,6,0,0
2020-08-12,0,0,1,17,0,1
2020-08-13,0,0,0,0,0,0
2020-08-14,0,0,0,2,0,0
2020-08-15,0,0,0,0,0,0
2020-08-16,0,0,1,10,6,0
2020-08-17,2,0,1,4,0,0
2020-08-18,0,0,2,19,0,0
2020-08-19,0,0,0,3,0,0
2020-08-20,5,0,0,0,1,0
2020-08-21,3,0,2,0,4,0
2020-08-22,2,0,3,7,0,0
2020-08-23,0,0,1,35,0,0
2020-08-24,0,0,3,25,0,1
2020-08-25,6,1,1,23,2,0
2020-08-26,30,0,5,13,4,1
2020-08-27,2,0,4,12,5,0
2020-08-28,1,0,5,30,0,1
2020-08-29,0,0,1,38,0,0
2020-08-30,4,0,1,31,0,0
2020-08-31,2,0,1,3,0,0
2020-09-01,1,1,0,1,1,0
2020-09-02,5,0,0,7,1,2
2020-09-03,0,0,0,27,0,0
2020-09-04,1,0,0,4,0,0
2020-09-05,0,0,2,11,0,0
2020-09-06,13,2,1,11,0,0
2020-09-07,0,0,4,11,0,0
2020-09-08,0,0,5,38,1,0
2020-09-09,0,0,1,16,1,0
2020-09-10,1,0,0,4,0,0
2020-09-11,11,1,0,3,0,0
2020-09-12,1,0,1,9,0,0
2020-09-13,0,0,1,32,0,0
2020-09-14,0,0,0,20,0,0
2020-09-15,0,0,0,8,0,0
2020-09-16,4,0,0,1,0,0
2020-09-17,2,1,0,1,4,0
2020-09-18,0,0,0,0,0,0
2020-09-19,0,0,0,0,1,0
2020-09-20,0,0,0,0,0,0
2020-09-21,0,0,0,0,1,0
2020-09-22,1,0,0,2,1,0
2020-09-23,1,0,0,3,1,0
2020-09-24,1,0,1,18,1,0
2020-09-25,0,0,0,12,0,0
2020-09-26,1,0,0,0,0,0
2020-09-27,10,2,0,0,0,0
2020-09-28,2,1,0,0,2,0
2020-09-29,0,1,0,3,2,1
2020-09-30,0,0,0,12,0,0
2020-10-01,1,0,0,2,0,0
2020-10-02,1,2,0,0,0,0
2020-10-03,0,0,0,2,0,0
2020-10-04,0,0,2,7,0,0
2020-10-05,0,0,0,4,0,0
2020-10-06,0,0,0,0,0,0
2020-10-07,0,2,0,0,0,0
2020-10-08,0,1,0,0,1,0
2020-10-09,1,1,0,3,0,0
2020-10-10,0,1,0,11,0,0
2020-10-11,0,1,0,2,0,4
2020-10-12,0,5,0,0,0,0
2020-10-13,0,2,0,1,0,0
2020-10-14,1,5,0,0,0,0
2020-10-15,0,1,0,0,0,0
2020-10-16,0,0,0,0,0,0
2020-10-17,0,0,0,0,1,0
2020-10-18,0,1,0,0,0,0
2020-10-19,0,0,0,2,3,0
2020-10-20,0,0,0,2,0,0
2020-10-21,1,0,0,2,0,0
2020-10-22,0,1,0,1,0,0
2020-10-23,0,2,0,3,0,0
2020-10-24,11,0,1,7,1,2
2020-10-25,6,1,2,12,0,6
2020-10-26,0,0,0,24,0,0
2020-10-27,0,0,0,0,0,0
2020-10-28,0,0,0,0,0,0
2020-10-29,0,2,0,0,0,0
2020-10-30,2,1,0,1,0,0
2020-10-31,0,0,1,6,0,0
2020-11-01,0,0,0,1,0,0
2020-11-02,0,0,0,0,0,0
2020-11-03,6,4,0,0,0,0
2020-11-04,10,3,1,2,0,0
2020-11-05,0,1,2,5,0,0
2020-11-06,0,0,1,0,0,1
2020-11-07,0,1,0,1,0,0
2020-11-08,2,8,0,0,0,1
2020-11-09,24,9,0,5,0,6
2020-11-10,11,5,0,38,0,6
2020-11-11,0,0,0,23,0,1
2020-11-12,0,1,0,8,0,1
2020-11-13,1,14,0,2,1,0
2020-11-14,41,34,0,4,1,4
2020-11-15,32,8,1,7,0,0
2020-11-16,5,1,1,8,0,0
2020-11-17,1,1,1,2,0,0
2020-11-18,4,10,0,3,0,0
2020-11-19,16,17,1,1,0,0
2020-11-20,47,6,0,16,0,5
2020-11-21,18,5,4,57,0,2
2020-11-22,3,1,1,32,0,0
2020-11-23,5,17,2,6,0,0
2020-11-24,19,38,0,2,0,0
2020-11-25,45,26,3,3,0,4
2020-11-26,28,7,7,8,0,4
2020-11-27,2,3,7,11,0,2
2020-11-28,1,6,1,3,0,4
2020-11-29,13,36,0,0,0,1
2020-11-30,87,46,0,1,0,2
2020-12-01,75,10,0,3,0,7
2020-12-02,19,4,1,1,0,2
2020-12-03,2,3,6,1,0,2
2020-12-04,14,25,2,5,0,0
2020-12-05,68,40,7,0,0,1
2020-12-06,117,27,14,16,1,1
2020-12-07,51,5,16,5,0,6
2020-12-08,19,8,8,4,0,7
2020-12-09,14,28,2,0,0,0
2020-12-10,40,39,0,1,0,1
2020-12-11,89,39,1,4,1,8
2020-12-12,42,10,8,22,0,14
2020-12-13,25,8,3,21,0,5
2020-12-14,5,5,4,7,0,5
2020-12-15,12,63,0,1,0,3
2020-12-16,54,56,9,2,0,4
2020-12-17,95,15,16,1,0,14
2020-12-18,24,1,31,2,0,12
2020-12-19,16,12,3,0,0,4
2020-12-20,7,39,0,0,0,4
2020-12-21,36,56,6,3,0,1
2020-12-22,53,32,13,4,1,9
2020-12-23,23,13,29,12,0,8
2020-12-24,15,7,1,5,0,2
2020-12-25,5,30,2,0,1,4
2020-12-26,31,71,7,3,0,5
2020-12-27,60,70,61,5,1,14
2020-12-28,38,42,139,51,0,12
2020-12-29,13,24,80,56,0,10
2020-12-30,6,38,63,0,0,7
2020-12-31,28,75,27,4,0,0
